UF;CO_MUNICIPIO;NO_MUNICIPIO;IFDM_2006;IFDM_2007;IFDM_2008;IFDM_2009;IFDM_2010;
PB;2508554;Logradouro;0,464940423;0,486188649;0,520409642;0,490371066;0,5010143303;
PB;2508604;Lucena;0,505083324;0,61798917;0,66747547;0,657687247;0,6643857605;
PB;2508703;Mãe d'Água;0,608950067;0,640681618;0,585427931;0,678238254;0,7104969334;
PB;2508802;Malta;0,628814122;0,672378854;0,656717191;0,645558105;0,643078846;
PB;2508901;Mamanguape;0,522663235;0,56944325;0,561733561;0,537902962;0,5405393221;
PB;2509008;Manaíra;0,480852992;0,523366201;0,504382137;0,539702253;0,551740081;
PB;2509057;Marcação;0,438052727;0,494212883;0,502400708;0,510901975;0,5061333556;
PB;2509107;Mari;0,571225644;0,613859593;0,640539383;0,662760502;0,6530660469;
PB;2509156;Marizópolis;0,671358228;0,621335235;0,645979398;0,571266068;0,6129207509;
PB;2509206;Massaranduba;0,550710248;0,668856477;0,658419317;0,633122652;0,6558265649;
PB;2509305;Mataraca;0,617418396;0,665783809;0,709495333;0,680897484;0,6870142325;
PB;2509339;Matinhas;0,600601719;0,634331204;0,664463739;0,59349688;0,5863594912;
PB;2509370;Mato Grosso;0,436579226;0,499956987;0,458416348;0,556951982;0,5264925989;
PB;2509396;Maturéia;0,579836338;0,647418772;0,677660267;0,701678958;0,7264602095;
